| ID    | Objetivo                                                 | Materia objetivo                                              | Preparación / estados                                                                    | Resultado esperado                                                            |
| ----- | -------------------------------------------------------- | ------------------------------------------------------------- | ---------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------- |
| CP-01 | Verificar materias sin correlativas                      | `3942`, `4719`, `8118`, `5488`                                | Reset total, todo en `no_cursada`                                                        | Deben aparecer habilitadas desde el inicio                                    |
| CP-02 | Verificar requisito `cursada`                            | `3059 FISICA ARQ`                                             | `8118 = cursada`                                                                         | `3059` debe habilitarse                                                       |
| CP-03 | Verificar que `aprobada` exige más que `cursada`         | `3943 TALLER DE ARQUITECTURA II`                              | `3942 = cursada`, `4719 = cursada`                                                       | `3943` **no** debe habilitarse                                                |
| CP-04 | Verificar mezcla `aprobada` + `cursada`                  | `3820 MORFOLOGIA I`                                           | `5488 = aprobada`, `5489 = cursada`                                                      | `3820` debe habilitarse                                                       |
| CP-05 | Verificar bloqueo si falta una sola correlativa          | `3944 TALLER DE ARQUITECTURA III`                             | Aprobar `3059`, `3943`, `5488`, `5489`, `8118`; dejar `8119 = no_cursada`                | `3944` **no** debe habilitarse                                                |
| CP-06 | Verificar desbloqueo por agrupador de idioma             | `3945 TALLER DE ARQUITECTURA IV`                              | Aprobar `3751`, `3820`, `3944`, `4607`, `5076`, `5205`, `5287`; dejar `4804` sin marcar  | `3945` **no** debe habilitarse                                                |
| CP-07 | Verificar que aprobar opción de idioma satisface `I2201` | `3945 TALLER DE ARQUITECTURA IV`                              | Igual que CP-06 + `4804 = aprobada`                                                      | `3945` debe habilitarse                                                       |
| CP-08 | Verificar requisito avanzado `cursada`                   | `5207 ESTRUCTURAS III`                                        | Aprobar `3751`, `3820`, `3943`, `4607`, `5076`, `5205`, `5287`, `4804`; `5206 = cursada` | `5207` debe habilitarse                                                       |
| CP-09 | Verificar bloqueo por materia avanzada no cursada        | `5207 ESTRUCTURAS III`                                        | Igual que CP-08 pero `5206 = no_cursada`                                                 | `5207` **no** debe habilitarse                                                |
| CP-10 | Verificar materia con `cursada` + idioma                 | `3863 PLANIFICACION URBANA I`                                 | Aprobar `3751`, `3820`, `3943`, `4607`, `5076`, `5205`, `5287`, `4804`; `2405 = cursada` | `3863` debe habilitarse                                                       |
| CP-11 | Verificar paso de 4º a 5º                                | `3946 TALLER DE ARQUITECTURA V`                               | Aprobar `2405`, `3752`, `3821`, `3945`, `5077`, `5206`, `5288`, `4804`; `3864 = cursada` | `3946` debe habilitarse                                                       |
| CP-12 | Verificar optativa común                                 | `2146 ECONOMIA DEL ARTE Y LA CULTURA`                         | Aprobar `2405`, `3752`, `3821`, `3944`, `5077`, `5206`, `5288`, `4804`                   | `2146` debe habilitarse                                                       |
| CP-13 | Verificar optativa seminario                             | `2371 SEMINARIO DE INNOVACION, CREATIVIDAD Y EMPRENDEDORISMO` | Igual que CP-12                                                                          | `2371` debe habilitarse                                                       |
| CP-14 | Verificar materia con regla especial                     | `3975 TRABAJO FINAL DE CARRERA`                               | Aprobar `3894`, `4804` y menos de 35 materias totales                                    | Según tu implementación actual, probablemente quede mal resuelta o incompleta |
| CP-15 | Verificar persistencia                                   | cualquier materia                                             | Marcar una materia, recargar la página                                                   | El estado debe mantenerse                                                     |
| CP-16 | Verificar reset                                          | varias materias                                               | Marcar varias como `cursada/aprobada`, apretar reset                                     | Todas deben volver a `no_cursada`                                             |
